Job Title,Salary Estimate,Job Description,Rating,Company Name,Location
Data Science & Insights Graduate,$83K - $132K (Glassdoor Est.),"This is your invitation to join us on our mission to build places people really want to be.

Welcome to one of Australia’s leading property groups. As a Stockland Graduate, you’ll play a real and enduring role in creating sustainable and vibrant places where millions of Australians live, work, shop and play.

Our commitment to people and the planet is evident in what we do every day. That means a real devotion to sustainability and an ever-evolving culture of inclusion and empowerment.

You don’t have to have to have studied property to work in property. We’re proud to have one of Australia's most flexible Graduate programs; putting you in control of your Graduate experience and enabling you to explore all that property has to offer.

So, if you’re energised by common purpose, excited by bold and visionary thinking, and driven to learn and grow together with the best in the business then we’d love to hear from you. In return, we’ll invest in you, to support your career and your vision for your future.",4.0,"Stockland
4.0",Sydney
Analytics Delivery Manager,$83K - $108K (Glassdoor Est.),"Hybrid Work Environment - We Flex to Thrive
Exciting time to join a top 100 ASX listed business with big goals.
Access to a great selection of benefits and corporate discounts!

We’ve only just begun, but what a beginning. In a once in a generation moment, we’ve brought together powerful brands to create one united force. TPG Telecom has a powerhouse of brands which include Vodafone, TPG, iiNet, Internode, Lebara, AAPT and felix. The latest technology and brave thinking let us connect our people and communities. You could play a role in that. A big one. We invite you to bring your boldness and stand out. You are empowered. Opportunities are plenty for those ready to accept the challenge.
This opportunity",3.9,"TPG Telecom
3.9",Sydney
Data Scientist (VPSG5),Employer Provided Salary:$105K - $128K,"Job Description
Location: Melbourne | CBD
Job type: Full time
Organisation: Department of Energy, Environment and Climate Action
Salary: $105,479 - $127,621
Occupation: Science
Reference: VG/50942074C",4.0,"Department of Energy, Environment and Climate Action",Melbourne
Data Scientist,$103K - $124K (Glassdoor Est.),"About Zeller

At Zeller, we’re champions for businesses of all sizes, and proud to be a fast-growing Australian scale-up taking on the ambitious goal of reimagining business banking and payments.

We believe in a level playing field, where all businesses benefit from access to smarter payments and financial services solutions that accelerate their cash flow, help them get paid faster, and give them a better understanding of their finances. So we’re hard at work building the tools to make it happen.

Zeller is growing fast, backed by leading VCs, and brings together a global team of passionate payment and tech industry professionals. With an exciting roadmap of innovative new products under development, we are building a high performing team to take on the outdated banking solutions. If you are passionate about innovation, thrive in fast-paced environments, embrace a challenge, hate bureaucracy, and can’t think of anything more exciting than disrupting the status-quo, then read on to learn more.",3.0,"Zeller
3.0",Melbourne
Data Scientist,Employer Provided Salary:$134K - $155K,"Data Scientist

Grade/salary: Clerk Grade 11/12, $134,411 - $155,445 + superannuation and leave loading
Duration: Temporary opportunity up until June 2024 with the potential to extend
Location: Flexible hybrid working from home arrangements, including office-based days in Sydney (Central), and the opportunity for site/field work.

About the team
ID Support NSW is looking for a Data Scientist who can transform business and industry analytics and insights into products and solutions that contribute to identity protection initiatives and drive digital data projects to new heights and success. ID Support NSW provides easy support services for individuals whose proof of identity credentials are compromised, stolen, or fraudulently used.",4.0,"NSW Government -Department of Customer Service
4.0",Sydney
Graduate Data Scientist,$100K - $124K (Glassdoor Est.),"Melbourne CBD & Inner Suburbs
Full Time
About the role:
As a Graduate Data Scientist you will contribute to the growth of Scalene by supporting successful delivery of client work as a key member of project delivery teams and by helping to develop and implement internal strategic initiatives. Your responsibilities will include:
Capture and document client requirements, and then translate them into an analytical roadmap / initiative
Prepare and analyse datasets and generate insights to help bring clients along the “project journey”",4.0,Scalene Group,Melbourne
Data Scientist,$114K - $165K (Glassdoor Est.),"Job Number:
92230-134340
Work type:
Temporary - Full Time
Location:
Brisbane
Categories:
Analyst
Location: Brisbane
Remuneration/Benefit: Competitive remuneration available
11 month fixed term contract",3.6,"Aurizon
3.6",Brisbane
"Associate, Data & Analytics",$92K - $101K (Glassdoor Est.),"About QTC
Queensland Treasury Corporation (QTC) has been recognised as one of Australia’s best places to work, winning multiple ‘Employer of Choice’ awards in recent years for professional development, employee benefits and culture.
QTC is Queensland’s central financing authority and provides financial, risk management and advisory services for the State. QTC manages the State’s funding program in the global capital markets to deliver sustainable and cost-effective borrowings for the Queensland Government, local governments and other clients.
QTC protects Queensland’s financial interests by helping to deliver innovative, long-term solutions that contribute to the growth of the Queensland economy. It delivers better financial outcomes by centralising the management of its clients’ borrowings, cash investments, and foreign exchange requirements.",4.0,"Queensland Treasury Corporation
4.0",Brisbane
Machine Learning Engineer,$95K - $129K (Glassdoor Est.),"Job Number:
92080-135415
Work type:
Permanent - Full Time
Location:
Brisbane
Categories:
Analyst
Location: Brisbane
Remuneration/Benefit: Competitive remuneration available + bonus incentives
2-3 days/ week WFH available",3.6,"Aurizon
3.6",Brisbane
Data Scientist,$103K - $124K (Glassdoor Est.),"Melbourne CBD & Inner Suburbs
Full Time
About the role
As a Data Scientist you will contribute to the growth of Scalene by supporting successful delivery of client work as a key member of project delivery teams and by helping to develop and implement internal strategic initiatives. Your responsibilities include:
Capture and document client requirements, and then translate them into an analytical roadmap / initiative
Prepare and analyse datasets and generate insights to help bring clients along the “project journey”",4.0,Scalene Group,Melbourne
Data Scientist,$80K - $120K (Glassdoor Est.),"Job no: 516599
Work type: Permanent - Full Time
Location: VIC
Join Cleanaway – Make positive impact to the environment and Australia!
Cleanaway is Australia’s largest waste management organisation and we have been around in Australia for over 50 years, delivering solutions that offer extraordinary benefits not just for our customers, but for our communities and environment we live in.
You have probably seen us around in our Blue Trucks, collecting your rubbish, but we do so much more than that!
We are looking for a Data Scientist to join our team in a Full-Time role to work on challenging and unique problems. We value diversity (having over 80 nationalities) and recognise the benefit inclusion brings both to us as a company, as well to our individual employees within Cleanaway.",3.3,"Cleanaway
3.3",Melbourne
